mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.4031503084,0.6869604450901605,-2.4716601000000002,2.499409141753604,-5.077527377948718,2.2934844387722872,-5.0175657,5.571476926696315,4.327069483794872,5.020816597929258,6.358777,6.6281316845420895,hand_wash
-2.669469701631841,2.1960748527038296,-3.4009278,3.4567055481496443,-5.064322427278607,3.564315136585287,-6.1073,6.19287526439279,-9.236738417412935,2.7619460301224854,-9.345366499999999,9.64083411666342,hand_wash
-2.8904405297044335,2.2733610340683374,-3.3554223,3.677338282913105,-5.28092366857143,4.1508645143508955,-5.366041,6.7169807956979755,-6.776896558226601,5.530638506438222,-8.080796000000001,8.747244666167783,hand_wash
-1.7085710020299998,2.0283110415674463,-1.4633569,2.6520295153565345,-7.9451299923150005,3.0584472940244485,-8.3939445,8.513471116125832,-2.474372517725,5.489827598256681,-3.61049185,6.021688003795402,hand_wash
-2.427144805480198,2.438661014332041,-2.44291995,3.4406539276120887,-6.326930207262376,3.9015474473870526,-6.7725165,7.4331768667092515,-5.025082962178217,5.910645500913452,-5.94743225,7.758040281813587,hand_wash
-3.0549185624554456,2.0228170413964874,-3.0955628500000003,3.6639208788125988,-8.006046396435643,2.00274275388007,-8.0592405,8.2527424193476,-2.890835978821782,4.435100338215247,-2.7734325,5.294057769470172,hand_wash
-1.9181038908029555,1.0087791144090208,-1.9196081000000003,2.1672004608668036,-6.704031299507389,1.4909542149305637,-6.937174000000001,6.867822080965257,-7.5481872065812805,2.5509040651253314,-7.861651400000001,7.967574389679098,hand_wash
-2.163229536585,1.4703290680516126,-2.6279353,2.615612661750833,-7.351177164999999,1.8108125308428484,-7.1515285,7.5709211944832,-1.8216458342899997,5.690105479221445,-0.026345214,5.974587342256536,hand_wash
-2.5271131548564356,2.2365045446198724,-2.6447004,3.3746486447560415,-6.679205572772278,2.58641894364717,-6.1935205,7.1624960757692,-3.673313774808416,6.118682667278769,-4.6684920000000005,7.136631675451304,hand_wash
-1.7413384755862071,1.3180317386873022,-1.6669334999999998,2.1839110217094393,-7.2250305960591135,1.7749203555982753,-7.1898484,7.439852779639353,-7.798242581379309,2.315974034808081,-7.7538757,8.134883102291186,hand_wash
-1.129282578056701,2.385549377461846,-0.7514374,2.6393417689664576,-4.373009396829896,4.8963530239865936,-5.23491405,6.5648674107147995,-8.849609497938143,4.701571031500198,-9.972263000000002,10.020995880162753,hand_wash
-1.335359067262562,2.1815543863119227,-1.0262659,2.5578044059226124,-2.9408421454827587,5.932652466181463,-3.2883617999999997,6.621549502128382,-10.781734993103449,2.964279991953583,-11.321258,11.181805101691218,hand_wash
-0.5832053174351759,2.7767807639299558,-0.21794678,2.8373649488946766,-4.87132529357789,5.428805140326962,-5.686974,7.2939519718388715,-6.90377014517588,6.1228001770748275,-8.331076,9.22771500566686,hand_wash
-0.6042469122251232,1.9085787425757743,-0.37721556,2.001945840312799,-0.9044620140640394,5.796825918899727,-1.4238391000000001,5.866961928367394,-9.929450104679802,4.224351407025999,-10.100995,10.790696186593722,hand_wash
-1.953216261115,2.2658695925002807,-2.00582885,2.991524489771302,-4.81663577119,5.069936099724194,-6.7922755,6.993156097756838,-7.807416405474999,3.9918149340587203,-7.92751485,8.7687135542367,hand_wash
-2.1970806564851486,1.1044040816892244,-2.2279669,2.4590387932590714,-3.558216481287129,4.779524052946628,-4.197271649999999,5.9585866361410496,-8.567192378712871,3.1825339487187763,-9.1813075,9.139218105977307,hand_wash
-2.03148298139801,1.4928694601116919,-2.0070264,2.52102803011865,-2.1861226136567167,6.0288868328261325,-2.3686743,6.413003081627639,-8.817937615528857,3.8061598669823646,-9.930947999999999,9.604315526073991,hand_wash
-1.999064709847525,1.7225895242649736,-2.0381616,2.6388585379412053,-4.3016448187277225,5.617311392529062,-6.6844995,7.075191547027107,-5.726414643089108,5.5159036603226195,-6.7904789999999995,7.950913020184905,hand_wash
-3.2697233398514856,2.211371879323021,-3.09017395,3.947310009085957,-5.395967156336634,5.078886536506459,-6.676117,7.41023279006606,0.5636891964356433,6.350595135761517,3.00215695,6.37556304090361,hand_wash
-2.351203714358416,1.2195677808858219,-2.2183868,2.6486797614259787,-1.251990544668317,6.041152861103276,0.732875985,6.169522527323745,-8.749356145178217,4.057495481964808,-9.8974185,9.644402653421967,hand_wash
-1.2593420135257731,1.518052465137728,-1.21487365,1.9724161817278527,-0.9547980034123712,5.4542234060649095,-0.355660395,5.53716463459292,-8.94123132515464,5.913126963188694,-10.951227,10.719640296797078,hand_wash
