mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-4.984035627875648,2.216480924074305,-5.336103400000001,5.454667618353944,-6.93180084937824,4.413025120664275,-6.0414367,8.217338603894499,-0.3621381361398965,5.582240140926679,0.12933105,5.5939743492994305,hand_wash
-4.761423300564356,3.257540983262612,-4.75171885,5.769118225933034,-6.9453550917821785,4.711990611681721,-7.1066217,8.392902529847545,-3.704122968108911,7.415169651638282,-3.8859191499999994,8.28886409138486,hand_wash
-5.248987639336634,2.807363956836005,-5.40017,5.952576217407945,-6.581080909539604,4.393721055591848,-6.7725165,7.912989994449491,-0.5479259369752476,5.746619193650574,1.0256671000000002,5.772681784859041,hand_wash
-5.371020977242574,2.792821111467191,-5.7528367000000005,6.053735714303739,-6.611445483910892,5.441231337627912,-7.123386850000001,8.562605319428764,-0.9828887290381191,6.829775089760864,0.6927594,6.90013753706317,hand_wash
-2.3128318919481865,2.3089902508662132,-3.0356872000000004,3.2681229075736806,-2.905320008787565,3.202772702319267,-2.4225624,4.324192102136864,-8.72914508150259,5.8203654341736595,-10.433902999999999,10.491645611687634,hand_wash
-3.6414148301541878,3.946865650204728,-2.9698243,5.370069871615531,-1.8509253434236452,6.882888210377388,-2.5722509999999996,7.127417115861817,-9.724788068669952,7.047952229229894,-10.158475,12.010209557124808,hand_wash
-3.9109052534715,4.275295003304189,-3.9056781,5.794249499884237,-7.538306031545001,4.199303660626348,-7.4808435,8.629032915650374,-2.84783990688,9.236958847968289,-0.85382444,9.666002322277704,hand_wash
-4.075949765054455,2.4753569135032194,-4.216432,4.768727119103761,-5.68159098490099,5.748666090463427,-5.5989568,8.082551449842573,-6.52412214608911,4.70285945799926,-6.92100765,8.042453410420444,hand_wash
-3.9667481134825873,2.6582136793946884,-3.5925293,4.775059220694411,-2.5084671978407957,6.26742589652768,-3.742218,6.750780329051527,-6.586124980459204,5.462046127269485,-7.829319,8.5563421013099,hand_wash
-3.3143257396517405,1.8607720554437017,-3.1422656000000004,3.800950900871812,-5.5002517197313425,5.526943621863869,-7.5598793,7.797427446258753,-5.582540294018407,5.498063363037491,-5.3049684,7.835397684758207,hand_wash
