mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-4.984035627875648,2.216480924074305,-6.93180084937824,4.413025120664275,-0.3621381361398965,5.582240140926679,hand_wash
-4.761423300564356,3.257540983262612,-6.9453550917821785,4.711990611681721,-3.704122968108911,7.415169651638282,hand_wash
-5.248987639336634,2.807363956836005,-6.581080909539604,4.393721055591848,-0.5479259369752476,5.746619193650574,hand_wash
-5.371020977242574,2.792821111467191,-6.611445483910892,5.441231337627912,-0.9828887290381191,6.829775089760864,hand_wash
-2.3128318919481865,2.3089902508662132,-2.905320008787565,3.202772702319267,-8.72914508150259,5.8203654341736595,hand_wash
-3.6414148301541878,3.946865650204728,-1.8509253434236452,6.882888210377388,-9.724788068669952,7.047952229229894,hand_wash
-3.9109052534715,4.275295003304189,-7.538306031545001,4.199303660626348,-2.84783990688,9.236958847968289,hand_wash
-4.075949765054455,2.4753569135032194,-5.68159098490099,5.748666090463427,-6.52412214608911,4.70285945799926,hand_wash
-3.9667481134825873,2.6582136793946884,-2.5084671978407957,6.26742589652768,-6.586124980459204,5.462046127269485,hand_wash
-3.3143257396517405,1.8607720554437017,-5.5002517197313425,5.526943621863869,-5.582540294018407,5.498063363037491,hand_wash
-2.5821926771287127,1.982262743247853,-6.663916587297029,3.509810954128788,-2.5729801374514856,5.917971484316284,hand_wash
-2.6702274253960394,1.4840233514173935,-2.714440454894554,4.221547005386194,-7.347629371930694,6.310520608733328,hand_wash
-1.8250874625615765,0.6266448798143834,0.8130088453133006,0.8184885305987392,-11.096420431034483,0.6397114818139724,hand_wash
-1.782183370042211,4.996888030856298,-2.8677410084572865,4.097570235004093,-9.602132715782412,9.076174385991886,hand_wash
-4.251017399133663,2.8150438212421616,-7.479900897524752,3.1452986139240076,-2.9977522772306933,6.648664083262008,hand_wash
-4.400777228980198,1.96498550242106,-7.848888040544555,3.4633054024528134,-2.7223072510693065,4.518443376344243,hand_wash
-4.78459691940594,1.6300512333812704,-7.234037931118812,3.7629805036518977,-3.995402410029703,4.151973510243603,hand_wash
-3.4676503541089105,1.5874232438363876,-2.857993417306931,3.7729919896712314,-9.126868093069307,2.7797900088922227,hand_wash
-2.782259803237624,1.7307511576342756,-5.148865147663367,4.184074035329978,-5.374079977956931,5.735450833435193,hand_wash
-2.5646094395841588,1.5076589336026187,-2.7665854504059406,4.4666818677551845,-9.733525364851484,2.8897679583651015,hand_wash
-2.1267892569154228,1.5713939155527488,-6.747002377303483,3.1025054698551484,-2.982490404905473,6.212608731776738,hand_wash
